Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
12,12,43,51,45,57,29,1972,75,1958,0.06,1.16,2006,2011-12-12,FALSE,NA,FALSE,0.07,346,Dec
1,4,39,53,44,56,29,1949,62,2006,0,5.59,1982,2011-01-04,FALSE,NA,FALSE,0.43999999999999995,4,Jan
3,17,42,59,47,61,36,1966,82,2004,0.02,0.68,1991,2011-03-17,FALSE,NA,FALSE,1.2300000000000002,76,Mar
8,28,53,68,56,73,49,1952,95,2009,0,0,NA,2011-08-28,FALSE,NA,FALSE,0,240,Aug
10,24,55,70,52,69,41,1956,88,1965,0,0.74,1998,2011-10-24,FALSE,NA,FALSE,1.1800000000000002,297,Oct
7,1,54,80,54,71,46,1949,99,1985,0,0.01,1980,2011-07-01,FALSE,NA,FALSE,0,182,Jul
1,5,38,55,44,56,26,1949,65,1986,0,1.98,1959,2011-01-05,FALSE,NA,FALSE,0.43999999999999995,5,Jan
5,30,50,62,52,68,46,1974,95,2001,0,0.28,1990,2011-05-30,FALSE,NA,FALSE,0.4,150,May
5,22,51,61,51,67,44,1952,83,1954,0,0.2,1958,2011-05-22,FALSE,NA,FALSE,0.39,142,May
5,3,49,69,49,66,39,1950,79,1953,0,0.44,1951,2011-05-03,FALSE,NA,FALSE,0,123,May
4,4,47,74,47,63,40,1950,82,1985,0,0.81,1975,2011-04-04,FALSE,NA,FALSE,0,94,Apr
8,14,55,71,56,73,47,1946,85,1995,0,0.13,1976,2011-08-14,FALSE,NA,FALSE,0,226,Aug
12,27,45,57,44,56,33,1962,70,1953,0,2.24,2004,2011-12-27,FALSE,NA,FALSE,0.13,361,Dec
11,14,50,61,49,63,36,1978,78,2008,0,1.04,1968,2011-11-14,FALSE,NA,FALSE,0.93,318,Nov
11,17,51,61,48,62,36,1964,73,2008,0,0.91,1996,2011-11-17,FALSE,NA,FALSE,0.93,321,Nov
